DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2007-Q2,106.7,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2007-Q3,107.9,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2007-Q4,108.4,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2008-Q1,109.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2008-Q2,108.0,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2008-Q3,105.5,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2008-Q4,98.6,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2009-Q1,89.3,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2009-Q2,88.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2009-Q3,90.2,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2009-Q4,91.4,s
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2010-Q1,93.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2010-Q2,96.0,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2010-Q3,96.8,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2010-Q4,98.8,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2011-Q1,99.8,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2011-Q2,99.7,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2011-Q3,99.7,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2011-Q4,98.8,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2012-Q1,98.1,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2012-Q2,97.7,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2012-Q3,97.6,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2012-Q4,95.5,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2013-Q1,95.6,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2013-Q2,96.7,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2013-Q3,96.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2013-Q4,96.9,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2014-Q1,97.2,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2014-Q2,97.9,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2014-Q3,97.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2014-Q4,97.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2015-Q1,99.4,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2015-Q2,100.0,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2015-Q3,100.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2015-Q4,100.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2016-Q1,101.5,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2016-Q2,101.0,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2016-Q3,101.2,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2016-Q4,102.6,
